condition,horizon,n,winrate,mean_bps,median_bps,std_bps,net_exp,avg_win,avg_loss,kelly,t_stat,p_value,is_significant,sharpe,low_n,consistency,regime
market_state = TRENDING_UP,60,15133,46.89750875569946,-0.3327037515166208,-0.2661839863693505,8.874117997062342,-0.9327037515166208,5.584437173353879,-5.558431619088289,0.0,-4.61190831717558,3.994080481461992e-06,True,-0.037491472575275415,False,-1.0,MEAN_REVERT
market_state = TRENDING_DOWN,5,16419,39.7709970156526,-0.19083192676859656,0.0,2.509104160235755,-0.7908319267685966,1.5319257599385967,-1.3284199229459626,0.0,-9.745238457576031,0.0,True,-0.07605580102767277,False,0.9732736822207461,NOISE
market_state = TRENDING_DOWN,15,16419,46.53754796272611,-0.2130080707799525,0.0,4.397837745083732,-0.8130080707799525,2.547765298557793,-2.6161829756682775,0.0,-6.206074465358691,5.454767748602762e-10,True,-0.04843472704696089,False,0.9732736822207461,NOISE
market_state = TRENDING_DOWN,60,16419,50.52682867409708,-0.17687112101047073,0.058484149332294066,7.983637100537101,-0.7768711210104707,4.746825501692982,-5.205430419539074,0.0,-2.838678878484862,0.00453019876712224,True,-0.02215420350188158,False,0.9732736822207461,NOISE
market_state = PULLBACK_IN_UPTREND,5,459,28.9760348583878,-0.5469934554906416,-0.30597481390226555,2.126657904154325,-1.1469934554906416,1.392094220061487,-1.3380936421422773,0.0,-5.5044918706985895,3.7115102990981086e-08,True,-0.2572080137675721,False,0.9551560901301547,NOISE
market_state = PULLBACK_IN_UPTREND,15,459,36.165577342047925,-0.7709533501115489,-0.6480375508322034,3.650867044091933,-1.3709533501115487,2.3779052366482047,-2.554948317354276,0.0,-4.51923392294009,6.212229625157661e-06,True,-0.21116993327904257,False,0.9551560901301547,NOISE
market_state = PULLBACK_IN_UPTREND,60,459,45.09803921568628,-0.38615313128764756,-0.7692808407666618,8.524875465657923,-0.9861531312876475,5.526404147353546,-5.242896610171486,0.0,-0.969402770250875,0.33234425736124473,False,-0.04529721669756327,False,0.9551560901301547,NOISE
market_state = RALLY_INTO_RESISTANCE,5,431,53.596287703016245,0.17057911923413946,0.014854272163411508,2.015949187631644,-0.4294208807658605,1.3387597431541236,-1.1786695013934423,0.12741578173859214,1.7546096517723098,0.07932601056053201,False,0.08461479102781226,False,2.1063138536182637,TRENDING
market_state = RALLY_INTO_RESISTANCE,15,431,58.23665893271461,0.3256987588040373,0.3671427774198932,3.69978320567321,-0.27430124119596266,2.299517179123239,-2.426681371752183,0.14163788892771814,1.8254672869575956,0.06793042734418564,False,0.08803184962421964,False,2.1063138536182637,TRENDING
market_state = RALLY_INTO_RESISTANCE,60,431,61.02088167053365,0.7501739231706822,1.3747074969905348,7.757338073656438,0.15017392317068223,4.903166102626995,-5.751236453001997,0.1529978604577067,2.0053190172865962,0.04492881337222743,True,0.09670507022482856,False,2.1063138536182637,TRENDING
